"Tax, Accounting, Payroll Usage",Percentile Rank Session Length
60,49
56,49
58,85
52,67
74,67
53,59
56,18
46,61
50,73
72,48
10,27
80,65
45,11
45,1
47,52
58,42
70,89
42,11
85,87
41,55
72,82
99,87
75,97
72,59
77,100
88,45
12,19
73,50
57,13
67,21
79,65
52,99
53,0
40,72
62,64
79,35
49,31
29,29
44,59
52,67
66,68
25,42
55,99
44,65
48,62
74,93
79,70
54,90
44,29
77,51
23,9
70,67
24,5
46,22
10,5
55,71
67,32
60,97
78,63
58,92
87,85
39,42
53,40
46,25
81,71
4,1
73,47
57,73
34,40
37,19
52,65
86,51
59,50
39,12
83,59
27,18
75,57
70,74
55,21
97,67
58,58
99,86
27,21
45,19
70,53
80,75
55,26
65,33
19,6
16,7
61,77
61,27
33,19
87,58
68,41
79,69
66,26
74,93
72,86
55,34
65,18
63,16
22,2
67,63
77,51
52,82
40,12
95,79
88,99
69,42
56,45
33,32
71,79
2,6
53,25
12,1
33,14
51,96
52,15
80,89
26,24
69,99
56,34
19,11
69,61
100,75
53,41
82,98
38,1
62,29
56,62
48,46
50,48
61,77
96,89
12,0
80,50
80,80
46,35
25,29
55,17
55,59
69,52
73,94
85,99
68,76
32,20
88,69
34,5
88,48
70,20
28,12
57,9
95,68
93,97
85,64
29,3
95,83
63,81
77,85
77,47
13,8
54,35
77,80
51,60
32,2
2,6
53,92
50,25
53,84
85,47
41,3
61,84
64,93
52,57
48,56
63,18
46,47
54,100
33,28
63,47
55,82
43,48
47,80
66,86
94,75
61,86
68,43
13,29
40,4
65,75
49,24
52,88
71,83
48,41
68,77
76,92
12,24
90,77
88,69
38,35
75,63
72,31
41,64
14,16
68,30
57,36
70,37
20,29
27,25
86,66
40,77
22,21
78,52
56,28
40,54
61,61
48,30
49,48
56,32
43,49
30,38
42,26
78,52
45,52
74,86
78,72
29,12
51,8
72,71
64,56
70,59
87,99
88,59
90,73
76,81
76,42
56,13
60,85
51,10
58,72
59,54
23,9
56,46
44,5
59,97
82,76
60,25
60,92
55,7
64,75
33,23
52,11
69,54
4,5
2,7
82,82
51,75
85,94
59,63
54,32
8,6
73,86
75,91
44,79
62,47
23,24
67,67
32,30
45,49
64,25
82,59
47,21
31,40
64,71
41,72
59,26
53,68
58,51
45,4
64,68
51,66
0,4
97,97
36,17
50,80
95,78
71,45
44,77
70,36
34,30
97,69
64,46
50,60
42,58
51,16
79,54
58,60
32,42
72,53
58,11
73,74
66,95
57,11
83,85
75,41
40,8
57,59
70,46
62,46
58,67
57,3
44,76
55,34
9,2
38,6
16,0
87,75
22,4
77,95
21,42
68,48
35,20
45,38
23,7
16,15
75,74
70,43
35,24
80,68
31,40
60,42
46,35
83,46
50,94
60,42
54,17
65,18
37,2
63,16
91,87
75,48
60,56
85,99
16,2
47,22
48,21
47,70
64,74
79,69
77,54
42,59
15,8
91,72
45,7
64,18
42,63
86,49
41,7
84,85
58,92
36,4
66,79
87,66
51,92
81,68
34,6
97,81
46,13
54,9
90,66
58,90
70,67
81,61
95,84
25,16
54,26
65,13
50,4
74,95
18,19
52,86
66,46
45,4
68,80
48,29
39,2
62,19
80,69
36,1
35,37
43,52
28,40
70,32
43,72
57,56
58,66
74,73
48,10
76,34
41,5
48,18
40,49
97,100
76,66
17,9
58,65
53,41
71,82
11,8
45,39
49,47
59,85
98,87
27,18
60,93
84,72
12,13
67,37
63,98
59,49
81,67
75,74
62,63
26,41
40,63
85,62
69,98
18,26
50,77
19,24
39,21
77,59
45,32
72,48
69,77
83,100
71,36
46,10
36,39
60,42
51,49
71,81
67,61
66,10
18,22
36,14
58,82
59,0
74,98
72,44
44,78
97,94
71,35
53,51
79,78
8,4
54,56
35,30
80,31
85,52
73,44
44,38
60,78
59,70
30,44
43,53
35,34
12,22
21,13
59,38
47,16
67,31
39,7
35,32
69,10
5,2
68,66
80,42
69,39
51,56
86,49
38,44
49,1
66,75
66,46
76,57
69,36
100,89
77,63
92,82
98,91
60,57
67,50
87,88
80,48
54,94
91,94
50,19
44,27
42,51
66,24
27,8
60,65
74,65
46,47
87,61
96,94
59,91
45,77
72,71
26,44
43,5
19,3
77,72
3,1
61,84
34,14
57,42
67,82
58,72
85,64
27,31
75,83
81,93
93,67
13,20
95,98
73,49
63,23
95,86
56,44
88,94
82,65
12,8
78,92
72,49
41,7
12,8
32,22
65,67
53,57
42,20
66,39
64,89
35,1
53,92
62,54
25,19
74,47
48,70
58,31
46,56
55,66
11,15
43,20
51,1
21,20
70,67
83,68
94,75
13,20
11,22
55,3
32,19
81,57
43,69
15,11
83,93
94,97
52,86
23,15
11,5
60,35
67,41
75,82
28,6
94,96
88,64
92,73
23,27
61,39
65,87
66,17
41,64
66,88
51,41
32,19
87,99
45,30
65,97
64,88
74,42
40,51
36,37
56,13
37,36
45,34
72,43
38,20
89,99
47,22
71,46
76,57
69,64
82,55
98,89
72,59
7,3
29,11
62,35
63,34
72,33
49,66
56,12
37,11
2,3
66,74
66,61
46,67
84,99
37,1
45,34
80,63
1,2
41,79
77,91
48,45
28,4
7,0
44,63
24,26
68,85
56,11
71,97
89,94
56,16
20,7
61,54
17,14
48,73
77,86
88,58
56,29
64,42
67,51
87,96
97,86
70,67
48,77
94,94
74,33
80,69
87,70
62,81
53,87
79,66
35,44
76,39
83,84
78,34
84,60
57,63
80,46
61,18
69,90
66,45
67,41
74,78
23,16
91,68
51,17
44,32
58,51
68,45
95,75
58,86
47,48
84,49
81,99
69,18
83,54
53,90
13,12
62,23
46,6
33,40
40,22
95,83
95,92
29,9
59,52
51,87
74,54
96,72
31,43
65,43
48,58
63,12
41,79
20,2
97,91
51,74
68,18
82,65
98,72
91,82
