Sign_Up_Date,User_ID,Transactions,Expenses,Sales,Cash Flow,Payroll,Time,Reports,Taxes,Mileage,Accounting,My_Accountant,Apps,Live_Bookkeeping,Transactions_Usage,Expenses_Usage,Sales_Usage,CashFlow_Usage,Payroll_Usage,Time_Usage,Reports_Usage,Taxes_Usage,Mileage_Usage,Accounting_Usage,My_Accountant_Usage,Apps_Usage,Live_Bookkeeping_Usage,Plan_Type_Usage,Session_Length,Susbcribed,days
11/26/19,5307,0,0,0,0,0,0,1,0,0,1,1,1,1,857,1337,410,697,2537,1715,1363,3584,993,1336,1340,1977,1849,2,1207,0,-5
10/21/19,7364,1,0,1,0,0,0,0,0,0,1,0,1,0,1845,345,1467,1275,2925,1693,1437,1285,963,1155,703,1891,71,3,6368,0,-41
11/26/19,9166,0,1,0,1,0,1,0,1,0,1,0,0,1,1826,1973,1154,151,710,1181,1556,1530,1909,2085,1721,1701,933,1,5482,1,-5
6/5/19,841,0,0,1,0,1,1,0,1,1,0,0,1,0,1830,82,1909,1103,1302,1140,377,703,676,1113,1115,1252,442,3,2575,0,-179
5/24/20,5909,0,1,1,1,0,1,1,1,0,1,0,0,1,1610,1867,1387,629,497,1673,1127,3670,1863,2045,743,947,1920,2,3369,0,175
2/7/20,9646,0,1,1,1,0,1,0,0,0,0,1,1,1,1424,468,1936,1840,808,307,90,1552,860,710,120,1166,192,3,4718,0,68
6/30/19,3049,1,1,0,1,1,0,1,1,0,1,1,1,1,1647,1225,1587,299,638,38,380,2646,1604,1067,1412,227,481,1,3435,1,-154
8/19/19,9209,0,0,0,0,1,0,0,1,0,0,1,0,1,734,869,1173,713,2508,946,491,3311,1082,2042,719,814,1442,3,6315,1,-104
10/18/19,9536,0,0,0,1,0,1,0,1,1,0,1,0,1,307,696,243,1855,2195,82,1697,3478,1118,2060,1884,912,1410,3,5200,1,-44
7/2/19,8936,0,0,0,0,0,1,1,1,1,1,0,1,1,1019,1328,888,127,981,912,685,2586,1670,1482,1830,670,690,2,6498,0,-152
2/14/20,3451,1,0,1,0,1,0,1,0,0,0,1,0,0,509,500,1419,1510,2165,540,978,1400,992,2688,1035,1383,45,1,5084,0,75
3/31/20,7347,0,1,0,0,0,1,1,0,0,0,1,0,1,157,1586,358,737,1280,1069,1450,1947,1322,1340,154,746,642,1,1782,0,121
9/28/19,6355,0,0,0,0,1,1,0,0,0,1,0,0,1,469,1629,762,292,766,201,855,2626,290,1088,1628,1115,840,1,4740,0,-64
9/2/19,2600,1,0,1,0,1,0,1,1,0,1,1,0,1,1302,522,1580,1501,2602,283,824,2412,1146,364,665,1602,1837,1,1535,1,-90
6/4/19,6775,1,0,1,1,1,1,1,0,1,0,1,0,1,1453,221,227,1520,2519,177,1151,3358,1259,505,806,1679,302,3,1429,0,-180
3/27/20,8599,1,1,1,1,0,0,0,1,0,0,0,1,1,910,1539,1304,1677,2719,1187,249,2669,263,1068,948,555,915,1,5802,1,117
8/15/19,9010,0,0,1,0,1,1,0,0,1,1,0,1,0,591,1438,1158,1300,717,789,1781,2505,1498,761,121,960,474,1,5339,0,-108
5/5/20,5485,0,1,1,0,1,0,0,0,1,1,0,1,1,1897,119,333,940,3165,1049,502,3045,975,2326,635,305,1408,3,1760,0,156
3/15/20,761,0,0,0,0,0,1,0,1,1,0,0,1,1,1591,1561,980,180,2054,367,1068,1659,1411,1325,767,1955,1489,1,3943,0,105
11/24/19,7990,0,1,0,0,1,0,1,0,0,1,0,0,1,1068,1777,1245,183,2285,481,1065,1571,1558,2245,1136,839,1289,3,1054,1,-7
3/30/20,5276,1,1,0,1,1,1,0,0,1,1,1,0,0,1763,1777,339,366,2489,1583,1394,985,804,2678,1233,1042,258,3,5126,1,120
2/17/20,55,1,0,1,0,0,1,0,0,1,0,0,0,1,599,466,68,1125,3077,1007,321,2678,897,1610,246,1205,1950,1,169,1,78
5/6/20,5594,1,1,1,1,0,0,1,0,1,1,1,1,1,21,1822,405,1709,2788,660,1089,2265,365,615,537,493,1086,3,6640,1,157
9/26/19,3967,1,1,0,1,1,0,1,0,0,0,1,1,1,1457,1492,453,520,542,274,1914,1806,1121,2549,1962,215,341,3,4602,0,-66
12/1/19,7333,1,0,0,0,0,1,0,1,1,1,1,1,1,917,691,1862,1561,760,1255,875,1291,646,690,963,1004,1222,2,3415,1,0
