Sign_Up_Date,User_ID,Transactions,Expenses,Sales,Cash Flow,Payroll,Time,Reports,Taxes,Mileage,Accounting,My_Accountant,Apps,Live_Bookkeeping,Transactions_Usage,Expenses_Usage,Sales_Usage,CashFlow_Usage,Payroll_Usage,Time_Usage,Reports_Usage,Taxes_Usage,Mileage_Usage,Accounting_Usage,My_Accountant_Usage,Apps_Usage,Live_Bookkeeping_Usage,Plan_Type_Usage,Session_Length,Susbcribed,days,Payroll_Employees 
4/9/20,3821,1,1,1,1,0,0,0,0,0,1,0,1,0,1479,1647,816,319,2840,866,1909,3697,500,626,229,1749,76,3,2476,1,130,0
12/22/19,2366,0,1,0,1,0,1,0,0,1,1,1,1,0,1357,489,1024,1637,746,310,322,2551,760,2749,1949,1726,474,3,3486,1,21,8
12/27/19,6084,0,0,1,0,1,1,1,1,0,0,1,0,1,657,311,1664,1967,1408,200,1513,1245,586,719,1259,1713,1440,1,7445,0,26,11
11/5/19,4133,1,1,0,1,0,1,1,1,1,1,0,1,1,1418,981,951,130,950,681,1789,2026,1558,2140,555,425,1496,3,4701,1,-26,6
11/5/19,9830,0,0,0,0,1,0,0,0,0,1,0,1,1,1554,253,465,422,2923,1394,297,1972,157,2436,581,128,152,3,4666,1,-26,0
8/23/19,2234,1,1,0,0,1,1,0,1,0,1,0,0,0,845,1513,1873,986,1405,830,1512,3428,824,828,191,1161,1168,1,4180,1,-100,0
9/29/19,2572,0,0,0,1,1,1,0,1,0,0,0,1,0,643,250,1197,1833,2625,1956,1156,2473,180,1281,254,552,1917,1,1505,1,-63,0
7/22/19,3366,1,0,1,1,1,1,1,1,1,1,0,1,1,1417,636,1286,1332,1002,1902,971,2299,1984,2543,1823,1826,1695,2,4315,0,-132,0
8/18/19,861,1,1,0,1,1,1,1,0,0,0,1,1,0,102,153,1796,655,1501,1064,357,3134,1105,818,821,628,502,2,5232,1,-105,14
6/18/19,4340,1,1,1,1,1,1,1,0,1,0,0,0,0,1837,68,1581,1170,2307,914,656,2736,36,2645,1448,1242,1264,2,3396,1,-166,0
11/12/19,25,1,1,0,1,1,0,0,0,1,1,0,1,0,1203,1578,1360,1897,689,22,1782,3263,446,564,1841,1509,368,2,2126,0,-19,0
3/28/20,297,0,1,0,1,1,0,1,0,0,1,1,0,1,1918,608,818,354,435,1816,1352,2596,1886,1903,1964,712,329,3,4523,1,118,0
11/30/19,8667,1,0,1,1,0,0,1,1,0,0,0,1,1,151,704,176,1334,1216,1663,42,1334,603,1369,443,1364,1460,2,1106,0,-1,4
9/10/19,226,1,0,1,0,1,1,0,0,1,0,0,1,1,665,326,1882,1818,2152,1092,936,2039,1113,786,1040,1946,222,3,238,0,-82,0
8/28/19,7958,1,0,1,1,0,1,1,1,1,1,0,0,1,1329,1076,581,1452,1152,1844,603,2668,1080,1839,1401,1679,1162,1,3702,0,-95,0
5/24/20,6013,1,1,1,0,1,1,0,0,1,1,1,0,0,632,354,772,602,1942,987,1736,2668,1394,1776,1910,1280,606,1,3029,1,175,0
2/9/20,9481,0,1,0,0,0,1,1,1,0,1,0,1,1,864,532,539,445,1042,306,310,1000,126,1115,420,1459,921,3,8583,0,70,9
11/30/19,6247,0,1,0,1,1,0,0,0,0,0,1,1,0,1859,1258,1554,106,2723,865,235,3002,1312,1464,1772,1345,1793,3,1067,1,-1,1
6/28/19,7556,1,1,1,1,1,1,1,1,0,1,1,0,1,1227,1199,1682,1144,855,342,882,3193,1694,1369,1088,1320,1104,1,8018,1,-156,13
8/9/19,7429,1,1,0,1,1,0,0,0,1,1,1,0,1,15,1146,498,562,2617,58,1009,1664,1022,943,839,1816,1591,2,3863,0,-114,7
6/6/19,8945,1,0,1,0,1,0,1,0,0,0,0,1,1,1338,1307,477,449,2900,186,952,3011,145,419,1365,1592,1455,2,6944,0,-178,7
4/19/20,2702,0,0,0,1,0,0,0,0,0,0,1,1,1,361,414,1655,1763,2295,1187,1695,1926,716,531,433,532,344,2,7954,0,140,14
12/7/19,6772,0,0,1,1,1,1,0,0,0,1,0,1,0,50,1659,1995,1840,1659,546,1577,881,86,519,1148,1341,918,2,11178,1,6,9
9/21/19,6722,0,0,0,1,0,0,0,1,0,0,0,0,0,1966,824,1922,902,441,1597,214,1380,1521,1999,858,536,1063,1,4163,1,-71,0
7/13/19,631,1,1,0,1,1,0,1,0,0,1,1,1,1,1574,170,224,1991,2229,312,1578,3303,637,2689,1456,276,1498,3,11882,1,-141,6
