Session_Length,"Tax, Accounting, Payroll Usage"
3486,8.64
3486,6.79
7445,7.21
4701,10.5
4666,3.84
4180,7.21
1505,4.2
4315,8.08
5232,9.5
3396,9
2126,3.96
4523,8.24
1106,1.02
238,0
3702,9.27
3029,2.94
8583,6.72
1067,4.12
8018,9.45
3863,8.55
6944,6.24
7954,9.45
11178,7.68
4163,5.76
11882,7.21
3256,6.12
1581,2.94
3535,8.4
1202,6.06
1733,4.95
4580,4.04
11702,4.95
100,5.05
5033,6.12
4480,8.91
2576,4.85
2352,6.06
2257,2.04
4136,6
4679,3.96
4747,8.24
3032,7
11818,9
4525,8.4
4339,8.08
9925,7.21
4858,9.18
8742,5.7
2240,1.92
3636,4.9
993,0
4669,10.4
672,6.06
1783,2.94
662,0.99
4912,6.93
2432,5.94
10918,8.73
4427,3.84
9509,7.92
7528,5.82
3042,3.12
2912,3
1976,2.91
4910,4.8
207,4.95
3379,8.73
5188,8.4
2952,7.28
1602,4
4564,4.95
3634,4.75
3563,8.16
1135,6.79
4180,7.84
1568,2.97
4051,8.73
5400,10.1
1724,1.92
4653,10.2
4091,4.08
7618,8.82
1728,2.08
1583,7.35
3780,8.08
5631,7.14
2063,3.8
2503,3.15
695,5.05
825,5.76
6003,9.7
2132,4.95
1609,7.14
4082,3.88
2990,3.06
4842,8
2034,3.8
9879,7.76
7667,5.94
2512,3.09
1545,3.8
1387,5.1
301,2.91
4411,7.84
3658,9
6966,4.75
1168,7.14
6277,7.68
11601,10.2
3039,7.21
3234,4.08
2432,3.96
6318,4.75
730,4.04
1971,1.98
256,5.15
1266,4.95
10855,9.36
1369,2.1
8666,7.35
1955,1.01
11753,4.9
2524,5.05
1084,1
4293,4.2
5641,5.94
2976,6.72
11293,9.36
161,2.02
2226,6.79
4329,8
3308,6.3
3417,5.25
5928,9.6
8529,6.3
148,5.94
3553,5.76
6441,3.96
2622,5.05
2212,3.06
1487,2.08
4182,8.73
3712,6.93
10014,5.25
11783,10.4
5723,10.4
1667,4.16
4842,4.8
612,5.94
3399,6.86
1648,4.85
1181,0.97
957,4.9
4782,9.36
11176,7.07
4504,7.6
418,3.09
7121,10.1
6610,9.18
7417,5.94
3387,6.72
853,0
2605,7.21
6454,7
4246,4.9
263,6
740,4.8
9553,6.65
1964,1.01
7275,6.93
3386,7.21
433,0
7246,9.9
9790,6.18
4033,5.05
3939,8
1535,1.96
3394,7.14
11881,10.2
2182,4.9
3332,4.2
6919,9.9
3430,7.68
6506,7.21
7784,5.25
5523,7.84
7694,5.76
3118,8.24
2212,1.03
502,5.1
5483,10
1949,3.06
8283,9
6998,6.86
2988,6.3
5906,5.1
9528,7.28
1900,6.79
5921,6.24
4839,9.18
2620,4.85
4394,3.88
2350,6.18
4506,9.27
1406,6
2292,2.94
2662,6.86
2746,5.05
2235,0.98
2012,6.24
4634,10.4
5948,9.27
1756,2.04
3674,5.15
2151,6.3
3795,5.25
4291,6
2274,7.28
3444,5.1
2406,6.12
3513,5
2792,6
2048,2.08
3674,6.18
3711,4.85
7814,6.18
5007,4.16
1146,4.9
867,1.96
4932,6
3977,7.14
4152,6.65
11725,6.3
4181,3.88
5103,8.08
6704,9.6
3039,7.35
1187,6.3
7467,8.16
1031,4.04
5042,10.2
3842,7.21
992,0
3273,5.25
647,5.7
11151,6
5676,6.86
2004,2.08
9428,10.1
809,5.7
5603,9.9
1886,2.04
1096,1
3812,5.88
630,0
798,1.9
6876,9.7
5561,9.5
10100,7.92
4414,7.21
2436,4.16
727,5.82
7848,8.91
9072,9.18
6317,5.76
3392,8.82
1900,2.1
4677,3.92
2282,4.75
3492,4.95
1957,1.9
4132,9.18
1705,1.92
2908,4.2
4926,8.32
4973,10.5
2059,4.75
4726,9.36
3628,4.95
536,2.85
4769,9.36
4587,8.4
506,6.06
10966,9.5
1456,5.94
6592,5.25
6083,5.25
3208,5.76
5926,8.32
2683,6.24
2282,4.2
4823,8.91
3268,4.04
4211,4.2
4088,8.91
1447,4.75
3850,9.27
4242,7.6
3034,1.92
3752,4.16
1080,2.88
5300,6.65
10535,9.09
1063,5.2
7399,7.68
3007,6.86
910,5
4122,4.16
3286,4.04
3297,8.55
4644,6.3
381,5.94
5708,8.08
2544,5.7
287,1
731,5.7
146,2.91
5504,5.76
475,5.05
10369,7.84
3059,7
3409,4.9
1686,3.06
2771,3
808,3.09
1353,4.04
5402,8
3103,8.24
1929,3.12
4732,6
2901,7.14
3024,4.12
2610,5
3317,8.73
10132,9.7
